ID;Компонент;Канал/тип;Категория;Блокирующий;Триггер показа;Регион/воркгруппа;Текст (ключи / хардкод);Язык в макете;Кнопки;Действие после кнопки / результат;Источник;Заметки/проблемы
M-01;AgeControl;Модалка (overlay);Регуляторика / возраст;Нет (гейтит вход);Вход, не WebView, cookie adult≠true;SIGAP_BRAZIL;age_control_title / age_control_descr / age_control_gray_btn / age_control_gold_btn;i18n-ключ;18+ / <18;18+ → cookie adult=true, окно закрывается, доступ открыт. <18 → adult=false, переключение на блокирующую модалку;PDF dev-doc;Ключи без суффикса _key — расходится с другими
M-02;SigapBlockControl;Модалка confirm;Регуляторика / SIGAP;Нет;Событие sigap_block в gamblerSchedules, cookie sigapBlockEnabled≠false;SIGAP_BRAZIL;sigap_block_modal_text / sigap_block_gold_btn / sigap_block_gray_btn;i18n-ключ;Жёлтая / Серая;При первом показе ставит sigapBlockEnabled=true. Жёлтая → sigapBlockEnabled=false, закрыть, редирект /profile?tab=payout. Серая → sigapBlockEnabled=false, просто закрыть;PDF dev-doc;Предупреждение перед жёсткой блокировкой M-03
M-03;SigapBlockModal;Модалка жёсткая (без закрытия);Регуляторика / SIGAP;Да;sigap_block + страница game/sport/esport (или forceShow=true);SIGAP_BRAZIL;sigap_block_modal_title / _description / _entendi / _support;i18n-ключ;Жёлтая (entendi) / Серая (support);Жёлтая → редирект на /. Серая → редирект на /profile/feedback/. Крестика и закрытия по клику вне нет;PDF dev-doc;Полностью блокирующая
M-04;KycModalControl;Модалка (overlay);KYC / платёжный лимит;Нет;Авторизован, превышен глоб. платёжный лимит (isFirst/isSecondGlobalPaymentLimitExceeded), есть баланс, cookie kycModalShowed нет;NONE_MEXICO;kyc_modal_title_key / kyc_modal_descr_key / gold_btn_kyc_title_key;i18n-ключ;Жёлтая (KYC CTA);Открывается один раз за сеанс (cookie). Кнопка ведёт на прохождение KYC;PDF dev-doc;Поведение в доке описано скупо — нет деталей по кнопке
M-05;ReKycModalControl;Модалка (overlay);KYC / повторная верификация;Нет;Авторизован, статус ACTIVE, kycValid≠null;SIGAP_BRAZIL;rekyc_modal_title_key / _description_key / _btn_key;i18n-ключ;Жёлтая (подтвердить);Подтверждение → открывает контроллер KYC внутри модалки. Модалка закрывается когда kycValid=true;PDF dev-doc;—
M-06;SessionControl;Модалка (overlay);Responsible Gaming / сессия;Да (требует решения);Авторизован, задан limitPeriod, достигнут таймаут сессии;SIGAP_BRAZIL;sessionlimit_modal_title_key / _description_key / _logout_btn_key / _confirm_btn_key;i18n-ключ;Продлить (confirm) / Выйти (logout);Продлить → сеанс продлевается. Выйти → выход из системы. Появляется по истечении времени из limitPeriod;PDF dev-doc;—
M-07;VerificationControl / SimpleReg;Модалка (overlay);Верификация / онбординг;Нет;Авторизован, есть email, статус UNVERIFIED;SIGAP_BRAZIL;success_identification_title_key / simple_reg_title_key / simple_reg_description_key;i18n-ключ;Зависит от шага;Отображает текущий шаг верификации. Может показать модалку Simple Reg, если requireUpdate=true и cookie simpleRegModalShowed нет;PDF dev-doc;Многошаговый флоу — действия по кнопкам не детализированы
M-08;CookiePoliticMsg;Inline-баннер (низ экрана);Легал / cookie;Нет;Не iOS WebView, cookie cookiePoliticsAgreement нет;BCE;«This web-site uses cookies. See the details in the rules»;EN (хардкод);OK;OK → cookie cookiePoliticsAgreement=agree, баннер закрывается;PDF dev-doc;Текст захардкожен, не через i18n
M-09;FirstBonusModalContainer;Модалка промо;Бонусы / онбординг;Нет;Только что завершил регистрацию, доступны бонусы (UTM/промокод/депозит), балансы загружены;НЕ SIGAP_BRAZIL;«¡Bienvenido a BetBoom!» / «¡Has alcanzado el Nivel 1!»;ES (хардкод);Activar bonificaciones / «перейти к депозиту»;При наличии UTM/промо-бонусов берёт кастомную конфигурацию модалки. На спецстраницах (ORACLE/COUPONS/CARDS) ждёт ухода пользователя. Пользователь активирует бонус ИЛИ переходит на оплату;PDF dev-doc;Конкурирует за показ с M-11/M-12 после рега
M-10;UpdateUserPassword;Модалка форма;Безопасность аккаунта;Да;account.passwordInvalidate=true, путь не game/sport/esport, нет активных игровых экранов (gamesScreensArr пуст);Все;update_user_password_modal_title / _description / _submit;i18n-ключ;Submit;Остаётся открытой до успешного submit. После успешного submit → дёргает getUserInfo и закрывается при снятии флага;PDF dev-doc;—
